do1,do2,do3,do4,do5,validloss
0.2,0.2,0.2,0.2,0.1,0.24477448
0.2,0.0,0.1,0.2,0.2,0.24497041
0.1,0.0,0.0,0.2,0.2,0.24516685
0.2,0.1,0.2,0.0,0.2,0.24534135
0.2,0.1,0.1,0.1,0.2,0.24540715
0.2,0.1,0.2,0.1,0.2,0.24569802
0.1,0.2,0.2,0.1,0.2,0.24574207
0.2,0.2,0.2,0.1,0.2,0.24582627
0.0,0.0,0.2,0.0,0.0,0.24589981
0.0,0.1,0.1,0.1,0.2,0.24602856
0.1,0.2,0.1,0.0,0.2,0.24606597
0.1,0.2,0.2,0.0,0.2,0.2460927
0.1,0.2,0.1,0.1,0.2,0.24612209
0.1,0.0,0.2,0.1,0.2,0.24644357
0.0,0.1,0.0,0.1,0.1,0.24646057
0.2,0.1,0.2,0.1,0.1,0.24646156
0.2,0.1,0.1,0.2,0.2,0.24646814
0.2,0.2,0.1,0.2,0.0,0.24649847
0.1,0.1,0.1,0.1,0.0,0.24652876
0.2,0.2,0.1,0.1,0.2,0.24668023
0.1,0.0,0.1,0.2,0.0,0.2467602
0.1,0.2,0.1,0.2,0.1,0.24719377
0.1,0.0,0.1,0.1,0.1,0.24749756
0.2,0.0,0.0,0.2,0.2,0.24778517
0.2,0.0,0.2,0.0,0.0,0.24778712
0.1,0.1,0.0,0.2,0.2,0.24782635
0.1,0.0,0.1,0.2,0.1,0.2479975
0.2,0.0,0.1,0.2,0.0,0.24800639
0.1,0.1,0.2,0.2,0.1,0.24823959
0.1,0.0,0.2,0.0,0.1,0.24824674
0.1,0.1,0.0,0.0,0.2,0.2482756
0.1,0.2,0.2,0.0,0.1,0.24828121
0.1,0.1,0.1,0.0,0.1,0.24830344
0.1,0.1,0.0,0.1,0.2,0.24840882
0.2,0.2,0.1,0.2,0.2,0.24850585
0.2,0.0,0.0,0.0,0.2,0.24856654
0.1,0.2,0.0,0.2,0.0,0.24859855
0.0,0.2,0.0,0.2,0.0,0.24868315
0.0,0.2,0.2,0.2,0.0,0.24869047
0.0,0.2,0.0,0.1,0.0,0.24873821
0.2,0.2,0.2,0.0,0.1,0.24874033
0.2,0.0,0.0,0.1,0.0,0.24879968
0.1,0.0,0.1,0.2,0.2,0.2488711
0.1,0.2,0.2,0.1,0.1,0.24898711
0.2,0.0,0.1,0.0,0.1,0.2490028
0.1,0.1,0.1,0.2,0.1,0.2491332
0.2,0.0,0.1,0.0,0.2,0.24928474
0.2,0.1,0.0,0.2,0.1,0.24944617
0.1,0.1,0.0,0.2,0.1,0.2496452
0.2,0.0,0.1,0.0,0.0,0.24965212
0.1,0.1,0.1,0.0,0.2,0.24969196
0.1,0.1,0.2,0.1,0.1,0.2498957
0.1,0.2,0.0,0.2,0.1,0.2499027
0.2,0.2,0.1,0.1,0.0,0.2499098
0.2,0.1,0.1,0.1,0.0,0.24991283
0.2,0.2,0.1,0.0,0.0,0.24998327
0.1,0.0,0.0,0.0,0.2,0.2500263
0.2,0.0,0.0,0.0,0.1,0.2501099
0.1,0.2,0.1,0.2,0.0,0.25013888
0.0,0.2,0.1,0.1,0.1,0.25023293
0.2,0.1,0.1,0.0,0.2,0.2503302
0.2,0.2,0.0,0.2,0.0,0.2503546
0.2,0.1,0.2,0.0,0.1,0.25038716
0.2,0.0,0.1,0.1,0.2,0.2504248
0.1,0.2,0.0,0.1,0.2,0.25048634
0.1,0.2,0.0,0.0,0.1,0.25060278
0.0,0.2,0.0,0.0,0.2,0.2506041
0.1,0.2,0.1,0.1,0.0,0.2507324
0.1,0.0,0.1,0.1,0.0,0.25080276
0.0,0.0,0.1,0.0,0.1,0.25083604
0.2,0.2,0.0,0.1,0.0,0.25086308
0.1,0.1,0.2,0.0,0.2,0.25086388
0.1,0.1,0.0,0.1,0.1,0.25089648
0.2,0.2,0.0,0.1,0.2,0.2508987
0.0,0.0,0.2,0.0,0.2,0.2509466
0.1,0.0,0.2,0.2,0.2,0.2509495
0.0,0.1,0.0,0.1,0.0,0.25095353
0.2,0.0,0.2,0.2,0.2,0.2509543
0.1,0.1,0.1,0.1,0.2,0.2509928
0.2,0.1,0.0,0.0,0.1,0.25101715
0.1,0.2,0.2,0.2,0.0,0.25107569
0.1,0.1,0.1,0.1,0.1,0.25114194
0.0,0.1,0.0,0.2,0.0,0.251156
0.1,0.2,0.1,0.1,0.1,0.2512034
0.1,0.2,0.0,0.0,0.2,0.2513658
0.2,0.1,0.1,0.1,0.1,0.25139573
0.2,0.0,0.0,0.1,0.2,0.25147822
0.2,0.0,0.2,0.0,0.2,0.25148138
0.2,0.0,0.1,0.1,0.1,0.25159162
0.2,0.2,0.2,0.1,0.0,0.2516452
0.2,0.1,0.0,0.0,0.2,0.251647
0.1,0.0,0.2,0.1,0.0,0.2517225
0.2,0.2,0.0,0.0,0.2,0.2517321
0.1,0.1,0.1,0.0,0.0,0.2517836
0.0,0.0,0.2,0.2,0.0,0.25178546
0.2,0.1,0.0,0.2,0.2,0.25178617
0.1,0.0,0.1,0.0,0.1,0.25181013
0.2,0.2,0.0,0.2,0.1,0.25187477
0.2,0.2,0.1,0.2,0.1,0.25199628
0.1,0.1,0.2,0.0,0.1,0.25201255
0.2,0.2,0.0,0.1,0.1,0.25206244
0.1,0.0,0.2,0.0,0.2,0.25211242
0.0,0.1,0.2,0.2,0.1,0.252113
0.0,0.0,0.0,0.0,0.2,0.2522459
0.1,0.2,0.1,0.0,0.0,0.25229123
0.1,0.0,0.1,0.0,0.0,0.25229132
0.1,0.0,0.0,0.2,0.0,0.25232422
0.0,0.2,0.0,0.2,0.1,0.2523444
0.1,0.2,0.2,0.2,0.2,0.2523699
0.1,0.1,0.2,0.1,0.0,0.25239414
0.0,0.1,0.2,0.2,0.0,0.252482
0.1,0.0,0.0,0.2,0.1,0.2525039
0.2,0.1,0.1,0.2,0.1,0.2526045
0.1,0.0,0.2,0.1,0.1,0.25262338
0.2,0.2,0.1,0.0,0.2,0.25277045
0.1,0.1,0.0,0.1,0.0,0.25290066
0.0,0.1,0.0,0.1,0.2,0.2529041
0.2,0.0,0.2,0.2,0.1,0.252954
0.0,0.0,0.0,0.2,0.2,0.25302425
0.2,0.2,0.1,0.0,0.1,0.25306344
0.0,0.1,0.1,0.0,0.0,0.2531421
0.1,0.1,0.0,0.0,0.1,0.2532006
0.0,0.1,0.1,0.1,0.1,0.25334802
0.0,0.0,0.1,0.2,0.1,0.25342345
0.2,0.1,0.2,0.2,0.1,0.25344023
0.0,0.1,0.0,0.0,0.0,0.2534849
0.1,0.2,0.0,0.0,0.0,0.2535069
0.2,0.2,0.2,0.0,0.2,0.25356367
0.1,0.0,0.1,0.1,0.2,0.25362384
0.1,0.0,0.0,0.1,0.1,0.25363955
0.0,0.1,0.2,0.0,0.0,0.25367805
0.0,0.1,0.2,0.2,0.2,0.2536792
0.0,0.2,0.2,0.0,0.1,0.25370154
0.2,0.1,0.2,0.1,0.0,0.25370684
0.0,0.2,0.0,0.0,0.0,0.2538213
0.1,0.0,0.0,0.0,0.1,0.25388664
0.0,0.2,0.1,0.0,0.0,0.25399318
0.1,0.1,0.2,0.2,0.0,0.2540454
0.0,0.2,0.2,0.1,0.0,0.2541114
0.2,0.2,0.2,0.2,0.2,0.25413388
0.2,0.2,0.2,0.2,0.0,0.25418806
0.2,0.0,0.1,0.2,0.1,0.25425562
0.0,0.1,0.2,0.1,0.0,0.254321
0.2,0.2,0.0,0.0,0.0,0.25444916
0.0,0.1,0.1,0.0,0.1,0.25453582
0.0,0.2,0.2,0.1,0.1,0.25454643
0.0,0.2,0.2,0.1,0.2,0.25454816
0.0,0.2,0.2,0.2,0.1,0.25459903
0.0,0.2,0.1,0.1,0.2,0.2546666
0.0,0.2,0.0,0.2,0.2,0.25470835
0.1,0.2,0.2,0.1,0.0,0.25475994
0.0,0.2,0.0,0.1,0.1,0.25479406
0.0,0.2,0.1,0.0,0.2,0.25489232
0.0,0.1,0.2,0.0,0.2,0.254964
0.0,0.2,0.2,0.2,0.2,0.2550143
0.1,0.2,0.1,0.2,0.2,0.255092
0.1,0.2,0.2,0.2,0.1,0.25518364
0.0,0.2,0.2,0.0,0.0,0.25535282
0.1,0.2,0.2,0.0,0.0,0.25538054
0.1,0.1,0.2,0.2,0.2,0.2554214
0.1,0.0,0.2,0.0,0.0,0.25554928
0.0,0.2,0.0,0.0,0.1,0.2555532
0.0,0.1,0.1,0.1,0.0,0.2555984
0.0,0.2,0.0,0.1,0.2,0.25565934
0.0,0.2,0.1,0.1,0.0,0.25569415
0.2,0.2,0.2,0.1,0.1,0.25570068
0.0,0.0,0.2,0.2,0.1,0.25578067
0.2,0.2,0.2,0.0,0.0,0.2558248
0.2,0.0,0.0,0.1,0.1,0.25583905
0.2,0.1,0.1,0.2,0.0,0.2558456
0.0,0.0,0.1,0.0,0.0,0.2560043
0.0,0.1,0.2,0.0,0.1,0.25624058
0.2,0.0,0.2,0.1,0.2,0.25641203
0.1,0.1,0.0,0.2,0.0,0.2564993
0.2,0.1,0.0,0.1,0.0,0.2566515
0.2,0.0,0.2,0.1,0.0,0.25681347
0.0,0.1,0.1,0.2,0.1,0.2568455
0.0,0.2,0.1,0.0,0.1,0.25710487
0.1,0.2,0.0,0.2,0.2,0.25713745
0.1,0.1,0.0,0.0,0.0,0.25718343
0.0,0.1,0.0,0.2,0.1,0.25723317
0.1,0.1,0.2,0.1,0.2,0.25728688
0.0,0.0,0.0,0.1,0.1,0.25742313
0.0,0.1,0.2,0.1,0.1,0.2582008
0.0,0.1,0.0,0.0,0.1,0.25832266
0.0,0.0,0.0,0.0,0.0,0.25846085
0.1,0.1,0.2,0.0,0.0,0.2584671
0.0,0.2,0.1,0.2,0.2,0.25856254
0.0,0.0,0.2,0.2,0.2,0.25858998
0.1,0.0,0.2,0.2,0.1,0.25864285
0.0,0.0,0.0,0.1,0.0,0.25877
0.1,0.2,0.0,0.1,0.0,0.25888723
0.1,0.0,0.0,0.1,0.0,0.2589101
0.1,0.0,0.2,0.2,0.0,0.25907797
0.2,0.1,0.2,0.2,0.0,0.25914824
0.2,0.0,0.1,0.1,0.0,0.25924012
0.0,0.2,0.2,0.0,0.2,0.2593525
0.0,0.1,0.1,0.2,0.0,0.25935778
0.0,0.1,0.2,0.1,0.2,0.25958356
0.2,0.1,0.2,0.0,0.0,0.25985304
0.0,0.1,0.1,0.0,0.2,0.25985974
0.0,0.0,0.2,0.0,0.1,0.25991154
0.0,0.0,0.1,0.1,0.2,0.26001185
0.0,0.0,0.1,0.0,0.2,0.26001927
0.1,0.0,0.1,0.0,0.2,0.26008436
0.1,0.1,0.1,0.2,0.0,0.26011539
0.2,0.2,0.1,0.1,0.1,0.26015824
0.2,0.0,0.0,0.0,0.0,0.2602685
0.1,0.1,0.1,0.2,0.2,0.2603045
0.0,0.0,0.0,0.1,0.2,0.26031223
0.2,0.2,0.0,0.2,0.2,0.26038498
0.2,0.1,0.1,0.0,0.0,0.26039568
0.0,0.1,0.0,0.0,0.2,0.2604961
0.2,0.1,0.1,0.0,0.1,0.26064903
0.0,0.0,0.0,0.2,0.0,0.26069435
0.1,0.0,0.0,0.1,0.2,0.26070595
0.0,0.2,0.1,0.2,0.1,0.2607395
